Year,Calories,Carbohydrates,Protein,Fat
1909,3400,499,101,119
1910,3400,498,99,117
1911,3400,492,98,118
1912,3400,493,98,115
1913,3400,492,97,116
1914,3400,486,95,118
1915,3300,483,94,117
1916,3300,473,93,117
1917,3200,472,92,113
1918,3300,468,94,121
1919,3300,480,93,120
1920,3200,460,91,115
1921,3100,445,88,114
1922,3400,485,92,121
1923,3400,474,94,127
1924,3400,482,94,128
1925,3400,483,93,129
1926,3400,488,93,129
1927,3400,489,94,129
1928,3500,494,93,129
1929,3400,484,93,131
1930,3400,485,91,129
1931,3400,471,91,129
1932,3300,457,90,126
1933,3200,446,89,126
1934,3200,438,89,129
1935,3200,444,86,122
1936,3300,447,90,129
1937,3200,441,89,128
1938,3200,441,89,128
1939,3300,449,91,133
1940,3300,439,92,136
1941,3400,455,94,139
1942,3300,438,98,138
1943,3400,442,102,139
1944,3400,441,102,140
1945,3300,433,105,137
1946,3300,427,103,138
1947,3300,434,98,138
1948,3200,413,94,135
1949,3200,414,94,134
1950,3200,416,94,139
1951,3200,405,93,134
1952,3200,403,94,137
1953,3200,399,94,136
1954,3100,390,93,136
1955,3200,390,93,140
1956,3200,390,95,141
1957,3100,384,93,137
1958,3100,387,92,136
1959,3100,387,93,140
1960,3100,388,92,138
1961,3100,387,93,138
1962,3100,387,92,139
1963,3100,386,93,140
1964,3200,385,94,143
1965,3100,385,93,142
1966,3200,388,94,145
1967,3200,391,95,146
1968,3300,394,96,150
1969,3300,397,96,149
1970,3300,401,98,147
1971,3300,401,99,147
1972,3300,395,98,148
1973,3200,401,96,144
1974,3200,395,97,146
1975,3400,395,111,160
1976,3500,409,116,166
1977,3600,418,117,163
1978,3500,405,113,163
1979,3500,406,112,162
1980,3500,408,111,162
1981,3500,416,113,162
1982,3500,413,113,162
1983,3500,409,113,166
1984,3600,416,114,170
1985,3700,432,117,176
1986,3700,436,118,177
1987,3800,448,117,174
1988,3800,454,118,175
1989,3700,452,117,169
1990,3800,468,118,167
1991,3800,470,119,164
1992,3800,473,120,168
1993,3900,483,120,172
1994,3900,490,122,170
1995,3900,490,121,168
1996,3900,500,122,166
1997,3900,503,121,165
1998,3900,504,122,167
1999,4000,506,124,173
2000,4200,505,124,191
2001,4100,500,122,192
2002,4200,495,123,199
2003,4200,492,124,202
2004,4200,491,125,202
2005,4100,488,123,194
2006,4100,485,124,196
2007,4100,480,123,196
2008,4100,478,121,194
2009,4000,471,120,185
2010,4000,474,120,190
